Plaque	Well	Starting fly	Death before 29C	Death after 29C	Total live fly	Bloating	Percent Bloating	Number of eggs	Tumor presence	Tumor percent corrected	Percent survival	Comments	RackNo	RackPos	CATNUM	mol weight Structure	Name	SecName	Class	Enzyme	Action	Selectivity	Description
1	2A	4	0	0	4	3	0.75	5		0	1		01	2A	120693	195.22001	DL-alpha-Methyl-p-tyrosine	4-Hydroxy-alpha-methylphenylalanine	Neurotransmission	Enzyme	Inhibitor	Tyrosine hydroxylase	Inhibitor of catecholamine synthesis and tyrosine hydroxylase
1	2B	4	0	0	4	1	0.25	20		0	1		01	2B	144509	213.23812	N-Phenylanthranilic acid	Diphenylamine-2-carboxylic acid; DPC	Cl- Channel		Blocker		Cl- channel blocker
1	2C	4	0	0	4	4	1	8		0	1		01	2C	SML1041	318.37	Atreleuton	(R)-N-(3-(5-(4-fluorophenylmethyl)thien-2-yl)-1-methyl-2-propynyl)-N-hydroxyurea	Cell Signaling	Enzyme	Inhibitor	5-lipoxygenase 	Atreleuton is a reversible 5-lipoxygenase inhibitor
1	2D	4	0	0	4	2	0.5	12		0	1		01	2D	194336	153.60989	5-Aminovaleric acid hydrochloride	5-Aminopentanoic acid hydrochloride	GABA		Antagonist	GABA-B	Weak GABA-B receptor antagonist
1	2E	4	0	2	2	2	1	8		0	0.5		01	2E	211672	129.16007	(±)-Nipecotic acid	(±)-3-Piperidine carboxylic acid	GABA		Inhibitor	Uptake	GABA uptake inhibitor
1	2F	4	0	0	4	3	0.75	20		0	1		01	2F	246379	188.22547	Azelaic acid	Dicarboxylic acid C9; Nonanedioic acid; AZA	DNA Metabolism	Enzyme	Inhibitor		Antiproliferative on melonama cells; inhibits mitochondrial oxidoreductases of the respiratory chain and inhibits DNA synthesis
1	2G	4	1	1	2	2	1	10		0	0.666666667		01	2G	246557	196.68151	Tryptamine hydrochloride	3-(2-Aminoethyl)indole hydrochloride	Serotonin		Ligand		Serotonin receptor ligand
1	2H	4	0	0	4	1	0.25	8	2	0.5	1		01	2H	265128	179.15207	5-Fluoroindole-2-carboxylic acid		Glutamate		Antagonist	NMDA-Glycine	Competitive inhibitor of potentiation by glycine at the NMDA glutamate receptor
1	3A	4	0	0	4	4	1	5		0	1		01	3A	291552	202.25818	6-Methoxy-1,2,3,4-tetrahydro-9H-pyrido[3,4b] indole		Neurotransmission	Enzyme	Inhibitor	MAO	MAO inhibitor
1	3B	4	0	1	3	0	0	20		0	0.75		01	3B	SMl0773	382.45	"GSK-650394  
"	"2-Cyclopentyl-4-(5-phenyl-1H-pyrrolo[2,3-b]pyridin-3-yl)-benzoic acid
"	Cell signaling		Antagonist	SGK1	"GSK-650394 is a potent and selective Serum- and glucocorticoid-regulated kinase 1 (SGK1) antagonist. 

"
1	3C	4	0	1	3	3	1	5		0	0.75	1 mort bloating	01	3C	861804	432.00486	TMB-8 hydrochloride	8-(Diethylamino)octyl 3,4,5-trimethoxybenzoate hydrochloride	Intracellular Calcium		Antagonist		Intracellular Ca2+ antagonist; inhibits calmodulin-sensitive Ca2+-ATPase activity; protein kinase C inhibitor
1	3D	4	0	2	2	0	0	30		0	0.5		01	3D	A0152	94.11697	4-Aminopyridine		K+ Channel		Blocker	A-type	"Induces depolarization of GABA neurons; weak non-selective 
K+-channel blocker; anticonvulsant"
1	3E	4	0	0	4	2	0.5	9		0	1		01	3E	A0257	676.83306	Atropine sulfate		Cholinergic		Antagonist	Muscarinic	Muscarinic acetylcholine receptor antagonist
1	3F	4	0	1	3	0	0	20		0	0.75		01	3F	A0382	366.41772	Atropine methyl nitrate	AMN; Methylatropine nitrate	Cholinergic		Antagonist	Muscarinic	Muscarinic acetylcholine receptor antagonist
1	3G	4	0	1	3	0	0	12		0	0.75		01	3G	A0384	270.31216	Arcaine sulfate	N,N'-1,4-Butanediylbis(guanidine) sulfate	Glutamate		Antagonist	NMDA-Polyamine	Potent competitive antagonist of the polyamine site on the NMDA glutmate receptor
1	3H	4	0	0	4	2	0.5	8	4	1	1		01	3H	A0430	137.56686	1-Aminocyclopropanecarboxylic acid hydrochloride	ACPC	Glutamate		Agonist	NMDA-Glycine	NMDA glutamate receptor agonist acting at the glycine site
1	4A	4	0	0	4	4	1	2		0	1		01	4A	A0500	59.06825	Acetamide	Amide C2	Biochemistry	Enzyme	Inhibitor	Carbonic anhydrase	Carbonic anhydrase inhibitor
1	4B	4	0	0	4	4	1	13		0	1		01	4B	SMl1042	831.96	Eptifibatide acetate    	Cyclo(S,S)-Mpr(Har)GDWPC-NH2	Anticoagulants	Enzyme	Inhibitor	GPIIb/IIIa 	Eptifibatide is a specific inhibitor of fibrinogen binding to the platelet membrane integrin glycoprotein GPIIb/IIIa receptor, preventing platelet aggregation
1	4C	4	0	1	3	3	1	3		0	0.75		01	4C	A0760	101.10589	L-azetidine-2-carboxylic acid	(S)-Azetidine-2-carboxylic acid	Biochemistry		Inhibitor	Collagen	Inhibits collagen synthesis
1	4D	4	0	1	3	3	1	5		0	0.75		01	4D	A0779	281.57382	p-Aminoclonidine hydrochloride	Apraclonidine hydrochloride	Adrenoceptor		Agonist	alpha2	alpha2 Adrenoceptor agonist
1	4E	4	0	1	3	2	0.666666667	10		0	0.75		01	4E	SMl1166	358.54	Salirasib	"
2-(((2E,6E)-3,7,11-Trimethyl-2,6,10-dodecatrienyl)sulfanyl)benzoic acid"	Cell signaling and Neuroscience	Enzyme	Inhibitor	RAS	Salirasib (Farnesylthiosalicylic acid) is a RAS inhibitor that acts by dislodging the farnesylated protein from the membrane, facilitating Ras degradation.
1	4F	4	0	1	3	3	1	5		0	0.75		01	4F	A0937	319.27059	(±)-Norepinephrine (+)bitartrate	(±)-Arterenol (+)bitartrate; (±)-Noradrenalin (+)bitartrate	Adrenoceptor		Agonist		Adrenergic neurotransmitter
1	4G	4	0	0	4	4	1	5		0	1		01	4G	A0966	212.20976	4-Amino-1,8-naphthalimide		Apoptosis	Enzyme	Inhibitor	PARP	Poly(ADP-ribose) polymerase (PARP) inhibitor
1	4H	4	0	0	4	0	0	0	0	0	1		01	4H	R0875	608.69475	Reserpine	Methyl reserpate; 3,4,5-Trimethoxybenzoic acid ester	Serotonin		Inhibitor	Uptake	Inhibits vesicular catecholine and serotonin uptake.
1	5A	4	0	0	4	3	0.75	10		0	1		01	5A	A1260	187.71466	Amantadine hydrochloride	Tricyclo[3.3.1.1 3,7]decan-1-amine hydrochloride	Dopamine		Releaser		"Dopamine releaser used in the treatment of Parkinsonism and drug-
related extrapyramidal reactions; antiviral (Influenza A)"
1	5B	4	0	0	4	4	1	15		0	1	1 mouche sur 4 montre un énorme bloating	01	5B	A1755	420.43428	Aminophylline ethylenediamine	Theophylline ethylenediamine	Adenosine		Antagonist	A1/A2	A1/A2 adenosine receptor antagonist; diuretic; cardiac stimulant; smooth muscle relaxant
1	5C	4	0	0	4	3	0.75	5		0	1		01	5C	SML0511	418.37869	GNF-5	 N-(2-Hydroxyethyl)-3-(6-(4-(trifluoromethoxy)phenylamino)pyrimidin-4-yl)benzamide	Phosphorylation	Enzyme	Inibitor	BRC-Abl	GNF-5 is a BRC-Abl inhibitor.
1	5D	4	0	0	4	1	0.25	2		0	1		01	5D	A1784	440.42185	Aminopterin	4-Aminofolic acid	Antibiotic	Enzyme	Inhibitor	Dihydrofolate reductase	Dihydrofolate reductase inhibitor
1	5E	4	0	2	2	0	0	10		0	0.5		01	5E	A1824	218.25758	N-Acetyl-5-hydroxytryptamine	N-Acetylserotonin; Normelatonin	Melatonin		Precursor		Immediate precursor of melatonin
1	5F	4	0	1	3	2	0.666666667	5		0	0.75		01	5F	A1895	422.35148	Aurintricarboxylic acid	ATA	Apoptosis	Enzyme	Inhibitor	TopoII	DNA topoisomerase II inhibitor
1	5G	4	0	1	3	3	1	2		0	0.75		01	5G	A1910	183.1018	(±)-2-Amino-4-phosphonobutyric acid	(±)-AP-4	Glutamate		Antagonist	NMDA	NMDA glutamate receptor antagonist
1	5H	4	0	0	4	3	0.75	5		0	1		01	5H	SMl0896	381.42	"MCC-555 

"	5-[[6-[(2-fluorophenyl)methoxy]-2-naphthalenyl]methyl]-2,4-thiazolidinedione	Cell signaling and neuroscience 		Inhibitor		MCC-555 is a thiazolidinedione class anti-diabetic compound. In rodent models
1	6A	4	0	1	3	3	1	20		0	0.75		01	6A	A2129	103.12183	GABA	gamma-Aminobutyric acid	GABA		Agonist		Endogenous neurotransmitter
1	6B	4	0	1	3	3	1	15		0	0.75		01	6B	A2169	267.24621	3'-Azido-3'-deoxythymidine	Azidothymidine; AZT	Immune System	Enzyme	Inhibitor	Reverse transcriptase	Reverse transcriptase inhibitor; active against HIV-1 virus
1	6C	4	0	1	3	2	0.666666667	5		0	0.75		01	6C	A2251	195.69116	Acetyl-beta-methylcholine chloride	Methacholine chloride	Cholinergic		Agonist	M1	M1 muscarinic acetylcholine receptor agonist
1	6D	4	0	1	3	2	0.666666667	10		0	0.75		01	6D	A2385	244.20864	5-azacytidine	4-Amino-1-(beta-D-ribofuranosyl)-1,3,5-triazin-2(1H)-one; Ladakamycin	DNA Metabolism	Enzyme	Inhibitor	DNA methyltransferase	DNA methyltransferase inhibitor
1	6E	3	0	1	2	1	0.5	5		0	0.666666667		01	6E	A3085	299.76541	5-(N-Ethyl-N-isopropyl)amiloride	EIPA	Ion Pump		Blocker	Na+/H+ Antiporter	Selective blocker of Na+/H+ antiport
1	6F	4	0	1	3	3	1	3		0	0.75	1 mort bloating	01	6F	A3134	256.26342	3-Aminopropionitrile fumarate		Multi-Drug Resistance	Enzyme	Substrate	CYP450	Transformed to cyanide by cytochrome P450 in liver
1	6G	4	0	0	4	2	0.5	8		0	1		01	6G	A3145	270.24395	Apigenin	4',5,7-Trihydroxyflavone	Cell Cycle		Inhibitor		Arrests cell cycle at G2/M phase
1	6H	4	0	0	4	3	0.75	5	3	0.75	1		01	6H	D033	397.99289	(+)-Butaclamol hydrochloride		Dopamine		Antagonist		Dopamine receptor antagonist
